iter	Passed	Remaining
0	1	112
1	1	82
2	2	66
3	2	56
4	2	52
5	3	49
6	3	47
7	3	45
8	4	44
9	4	44
10	5	43
11	5	43
12	6	44
13	7	44
14	7	44
15	8	44
16	9	43
17	9	44
18	10	44
19	10	43
20	11	42
21	11	42
22	12	41
23	12	41
24	13	40
25	13	39
26	14	38
27	14	38
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	33
34	17	33
35	18	32
36	18	31
37	19	31
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	6
85	39	6
86	40	6
87	40	5
88	41	5
89	41	4
90	42	4
91	42	3
92	42	3
93	43	2
94	43	2
95	44	1
96	44	1
97	44	0
98	45	0
99	46	0
