iter	Passed	Remaining
0	60	60808
1	61	30631
2	61	20562
3	62	15533
4	62	12504
5	63	10475
6	63	9031
7	64	7952
8	64	7106
9	64	6430
10	65	5879
11	65	5422
12	66	5038
13	66	4705
14	67	4417
15	67	4164
16	68	3948
17	68	3752
18	69	3575
19	69	3412
20	70	3269
21	70	3141
22	71	3020
23	71	2913
24	72	2813
25	72	2721
26	73	2636
27	73	2558
28	74	2483
29	74	2412
30	75	2348
31	75	2285
32	75	2225
33	76	2170
34	76	2117
35	77	2068
36	77	2023
37	78	1979
38	78	1936
39	79	1896
40	79	1858
41	79	1823
42	80	1789
43	80	1755
44	81	1724
45	81	1694
46	82	1666
47	82	1638
48	83	1612
49	83	1587
50	84	1563
51	84	1538
52	84	1515
53	85	1493
54	85	1472
55	86	1451
56	86	1431
57	86	1411
58	87	1393
59	87	1375
60	88	1357
61	88	1342
62	89	1326
63	89	1312
64	90	1297
65	90	1282
66	91	1267
67	91	1253
68	91	1239
69	92	1225
70	92	1212
71	93	1200
72	93	1189
73	94	1178
74	94	1167
75	95	1156
76	95	1145
77	95	1134
78	96	1124
79	96	1113
80	97	1103
81	97	1094
82	98	1082
83	98	1073
84	98	1064
85	99	1055
86	99	1046
87	100	1039
88	100	1031
89	101	1023
90	101	1015
91	102	1007
92	102	999
93	102	992
94	103	984
95	103	977
96	104	970
97	104	963
98	105	956
99	105	949
100	105	943
101	106	938
102	107	932
103	107	926
104	107	920
105	108	913
106	108	907
107	109	901
108	109	895
109	110	890
110	110	884
111	110	879
112	111	874
113	111	868
114	112	863
115	112	858
116	112	852
117	113	847
118	113	842
119	114	837
120	114	833
121	115	827
122	115	823
123	115	818
124	116	814
125	116	810
126	117	805
127	117	801
128	118	797
129	118	794
130	119	790
131	119	787
132	120	782
133	120	778
134	121	775
135	121	771
136	121	768
137	122	764
138	122	761
139	123	757
140	123	754
141	124	749
142	124	745
143	124	742
144	125	738
145	125	735
146	126	731
147	126	728
148	126	724
149	127	721
150	127	718
151	128	714
152	128	711
153	129	708
154	129	705
155	129	702
156	130	699
157	130	696
158	131	694
159	131	691
160	132	688
161	132	685
162	132	682
163	133	680
164	133	678
165	134	675
166	134	672
167	135	670
168	135	668
169	136	665
170	136	662
171	137	660
172	137	657
173	137	655
174	138	652
175	138	649
176	139	647
177	139	644
178	140	642
179	140	639
180	140	637
181	141	634
182	141	632
183	141	629
184	142	627
185	142	624
186	143	622
187	143	619
188	143	617
189	144	615
190	144	612
191	145	610
192	145	608
193	145	606
194	146	603
195	146	601
196	147	599
197	147	596
198	147	594
199	148	592
200	148	590
201	149	588
202	149	587
203	149	585
204	150	582
205	150	581
206	151	578
207	151	576
208	151	574
209	152	572
210	152	570
211	153	568
212	153	566
213	153	564
214	154	563
215	154	561
216	155	559
217	155	557
218	155	556
219	156	554
220	156	553
221	157	551
222	157	549
223	158	548
224	158	546
225	159	544
226	159	543
227	160	541
228	160	540
229	160	538
230	161	537
231	161	535
232	162	534
233	162	533
234	163	532
235	163	530
236	164	529
237	164	527
238	165	526
239	165	524
240	166	523
241	166	521
242	167	520
243	167	519
244	167	517
245	168	516
246	168	514
247	169	513
248	169	511
249	170	510
250	170	508
251	170	507
252	171	505
253	171	504
254	172	502
255	172	501
256	172	499
257	173	498
258	173	497
259	174	495
260	174	494
261	175	493
262	175	491
263	175	490
264	176	489
265	176	488
266	177	486
267	177	485
268	178	484
269	178	482
270	179	481
271	179	480
272	179	479
273	180	477
274	180	476
275	181	475
276	181	473
277	181	472
278	182	471
279	182	470
280	183	468
281	183	467
282	184	466
283	184	465
284	184	463
285	185	462
286	185	461
287	186	460
288	186	459
289	187	458
290	187	457
291	188	456
292	188	455
293	189	454
294	189	453
295	190	452
296	190	450
297	190	449
298	191	448
299	191	447
300	192	446
301	192	445
302	192	443
303	193	442
304	193	441
305	194	440
306	194	439
307	194	438
308	195	437
309	195	436
310	196	435
311	196	434
312	197	432
313	197	431
314	198	430
315	198	429
316	198	428
317	199	427
318	199	426
319	200	425
320	200	424
321	201	423
322	201	422
323	202	421
324	202	420
325	202	419
326	203	418
327	203	417
328	204	416
329	204	415
330	204	414
331	205	413
332	205	412
333	206	411
334	206	410
335	207	409
336	207	408
337	207	407
338	208	406
339	208	405
340	209	404
341	209	403
342	210	402
343	210	401
344	211	401
345	211	400
346	212	399
347	212	398
348	212	397
349	213	396
350	213	395
351	214	394
352	214	393
353	214	392
354	215	391
355	215	390
356	216	389
357	216	388
358	217	387
359	217	387
360	218	386
361	218	385
362	219	384
363	219	383
364	219	382
365	220	381
366	220	380
367	221	379
368	221	379
369	222	378
370	222	377
371	223	376
372	223	375
373	224	375
374	224	374
375	224	373
376	225	372
377	225	371
378	226	370
379	226	369
380	227	368
381	227	367
382	227	367
383	228	366
384	228	365
385	229	364
386	229	363
387	230	362
388	230	361
389	230	361
390	231	360
391	231	359
392	232	358
393	232	357
394	233	357
395	233	356
396	233	355
397	234	354
398	234	353
399	235	352
400	235	351
401	235	350
402	236	350
403	236	349
404	237	348
405	237	347
406	238	346
407	238	346
408	238	345
409	239	344
410	239	343
411	240	342
412	240	341
413	241	341
414	241	340
415	241	339
416	242	338
417	242	338
418	243	337
419	243	336
420	244	335
421	244	334
422	244	334
423	245	333
424	245	332
425	246	331
426	246	330
427	247	330
428	247	329
429	247	328
430	248	327
431	248	327
432	249	326
433	249	325
434	250	324
435	250	324
436	250	323
437	251	322
438	251	321
439	252	320
440	252	320
441	253	319
442	253	318
443	253	318
444	254	317
445	254	316
446	255	315
447	255	314
448	256	314
449	256	313
450	256	312
451	257	312
452	257	311
453	258	310
454	258	310
455	259	309
456	259	308
457	260	307
458	260	307
459	261	306
460	261	305
461	261	305
462	262	304
463	262	303
464	263	302
465	263	302
466	264	301
467	264	300
468	264	299
469	265	299
470	265	298
471	266	297
472	266	296
473	266	296
474	267	295
475	267	294
476	268	294
477	268	293
478	269	292
479	269	291
480	269	291
481	270	290
482	270	289
483	271	289
484	271	288
485	271	287
486	272	286
487	272	286
488	273	285
489	273	284
490	274	284
491	274	283
492	274	282
493	275	282
494	275	281
495	276	280
496	276	279
497	276	279
498	277	278
499	277	277
500	278	277
501	278	276
502	278	275
503	279	274
504	279	274
505	280	273
506	280	272
507	280	272
508	281	271
509	281	270
510	282	270
511	282	269
512	283	268
513	283	267
514	283	267
515	284	266
516	284	265
517	285	265
518	285	264
519	285	263
520	286	263
521	286	262
522	287	261
523	287	261
524	287	260
525	288	259
526	288	259
527	289	258
528	289	257
529	290	257
530	290	256
531	290	255
532	291	255
533	291	254
534	292	253
535	292	253
536	292	252
537	293	251
538	293	251
539	294	250
540	294	249
541	295	249
542	295	248
543	295	247
544	296	247
545	296	246
546	296	245
547	297	245
548	297	244
549	298	243
550	298	243
551	298	242
552	299	241
553	299	241
554	300	240
555	300	240
556	300	239
557	301	238
558	301	238
559	302	237
560	302	236
561	302	236
562	303	235
563	303	234
564	304	234
565	304	233
566	305	232
567	305	232
568	305	231
569	306	231
570	306	230
571	307	229
572	307	229
573	308	228
574	308	227
575	308	227
576	309	226
577	309	226
578	310	225
579	310	224
580	310	224
581	311	223
582	311	222
583	312	222
584	312	221
585	313	221
586	313	220
587	313	219
588	314	219
589	314	218
590	315	218
591	315	217
592	316	217
593	316	216
594	317	215
595	317	215
596	317	214
597	318	214
598	318	213
599	319	212
600	319	212
601	320	211
602	320	211
603	320	210
604	321	209
605	321	209
606	322	208
607	322	207
608	322	207
609	323	206
610	323	206
611	324	205
612	324	204
613	325	204
614	325	203
615	325	203
616	326	202
617	326	201
618	327	201
619	327	200
620	327	200
621	328	199
622	328	198
623	329	198
624	329	197
625	329	197
626	330	196
627	330	195
628	331	195
629	331	194
630	332	194
631	332	193
632	332	192
633	333	192
634	333	191
635	334	191
636	334	190
637	334	190
638	335	189
639	335	188
640	336	188
641	336	187
642	337	187
643	337	186
644	338	186
645	338	185
646	338	184
647	339	184
648	339	183
649	340	183
650	340	182
651	340	181
652	341	181
653	341	180
654	342	180
655	343	180
656	343	179
657	344	178
658	344	178
659	345	177
660	345	177
661	346	176
662	346	176
663	346	175
664	347	174
665	347	174
666	348	173
667	348	173
668	348	172
669	349	172
670	349	171
671	350	170
672	350	170
673	350	169
674	351	169
675	351	168
676	352	167
677	352	167
678	352	166
679	353	166
680	353	165
681	354	165
682	354	164
683	354	163
684	355	163
685	355	162
686	356	162
687	356	161
688	356	161
689	357	160
690	357	159
691	358	159
692	358	158
693	359	158
694	359	157
695	360	157
696	360	156
697	360	156
698	361	155
699	361	155
700	362	154
701	362	153
702	362	153
703	363	152
704	363	152
705	364	151
706	364	151
707	364	150
708	365	149
709	365	149
710	366	148
711	366	148
712	366	147
713	367	147
714	367	146
715	368	146
716	368	145
717	368	144
718	369	144
719	369	143
720	370	143
721	370	142
722	371	142
723	371	141
724	371	141
725	372	140
726	372	140
727	373	139
728	373	138
729	374	138
730	374	137
731	374	137
732	375	136
733	376	136
734	376	135
735	377	135
736	377	134
737	377	134
738	378	133
739	378	133
740	379	132
741	379	131
742	379	131
743	380	130
744	380	130
745	381	129
746	381	129
747	381	128
748	382	128
749	383	127
750	383	127
751	383	126
752	384	126
753	384	125
754	385	125
755	385	124
756	386	123
757	386	123
758	386	122
759	387	122
760	387	121
761	388	121
762	388	120
763	389	120
764	389	119
765	390	119
766	390	118
767	390	118
768	391	117
769	391	116
770	392	116
771	392	115
772	393	115
773	393	114
774	394	114
775	394	113
776	394	113
777	395	112
778	395	112
779	396	111
780	396	111
781	396	110
782	397	110
783	397	109
784	398	109
785	398	108
786	399	108
787	399	107
788	400	107
789	400	106
790	401	106
791	401	105
792	402	104
793	402	104
794	402	103
795	403	103
796	403	102
797	404	102
798	404	101
799	405	101
800	405	100
801	405	100
802	406	99
803	406	99
804	407	98
805	407	98
806	407	97
807	408	97
808	408	96
809	409	95
810	409	95
811	409	94
812	410	94
813	410	93
814	411	93
815	411	92
816	412	92
817	412	91
818	412	91
819	413	90
820	413	90
821	414	89
822	414	89
823	414	88
824	415	88
825	415	87
826	416	87
827	416	86
828	417	86
829	417	85
830	418	85
831	418	84
832	419	84
833	419	83
834	420	82
835	420	82
836	420	81
837	421	81
838	421	80
839	422	80
840	422	79
841	422	79
842	423	78
843	423	78
844	424	77
845	424	77
846	425	76
847	425	76
848	425	75
849	426	75
850	426	74
851	427	74
852	427	73
853	427	73
854	428	72
855	428	72
856	429	71
857	429	71
858	430	70
859	430	70
860	431	69
861	431	69
862	432	68
863	432	68
864	433	67
865	433	67
866	433	66
867	434	66
868	434	65
869	435	65
870	435	64
871	436	64
872	436	63
873	436	62
874	437	62
875	437	61
876	438	61
877	438	60
878	438	60
879	439	59
880	439	59
881	440	58
882	440	58
883	441	57
884	441	57
885	441	56
886	442	56
887	442	55
888	443	55
889	443	54
890	443	54
891	444	53
892	444	53
893	445	52
894	445	52
895	446	51
896	446	51
897	446	50
898	447	50
899	447	49
900	448	49
901	448	48
902	448	48
903	449	47
904	449	47
905	450	46
906	450	46
907	450	45
908	451	45
909	451	44
910	452	44
911	452	43
912	453	43
913	453	42
914	453	42
915	454	41
916	454	41
917	455	40
918	455	40
919	455	39
920	456	39
921	456	38
922	457	38
923	457	37
924	458	37
925	458	36
926	459	36
927	459	35
928	459	35
929	460	34
930	460	34
931	461	33
932	461	33
933	462	32
934	462	32
935	463	31
936	463	31
937	464	30
938	464	30
939	464	29
940	465	29
941	465	28
942	466	28
943	466	27
944	467	27
945	467	26
946	468	26
947	468	25
948	468	25
949	469	24
950	469	24
951	470	23
952	470	23
953	471	22
954	471	22
955	472	21
956	472	21
957	473	20
958	473	20
959	474	19
960	474	19
961	475	18
962	475	18
963	475	17
964	476	17
965	476	16
966	477	16
967	477	15
968	477	15
969	478	14
970	478	14
971	479	13
972	479	13
973	480	12
974	480	12
975	480	11
976	481	11
977	481	10
978	482	10
979	482	9
980	483	9
981	483	8
982	484	8
983	484	7
984	484	7
985	485	6
986	485	6
987	486	5
988	486	5
989	486	4
990	487	4
991	487	3
992	488	3
993	488	2
994	489	2
995	489	1
996	489	1
997	490	0
998	490	0
999	491	0
